chunk,chunk_start,chunk_end,chrom,min_pos,max_pos
0,0,131072,Pf3D7_01_v3,37,184938
1,131072,262144,Pf3D7_01_v3,184939,388190
2,262144,393216,Pf3D7_01_v3,388191,598636
3,393216,430272,Pf3D7_01_v3,598637,640850
3,430272,524288,Pf3D7_02_v3,14,132405
4,524288,655360,Pf3D7_02_v3,132407,353841
5,655360,786432,Pf3D7_02_v3,353843,582248
6,786432,917504,Pf3D7_02_v3,582250,789924
7,917504,1027440,Pf3D7_02_v3,789925,947101
7,1027440,1048576,Pf3D7_03_v3,173,23528
8,1048576,1179648,Pf3D7_03_v3,23529,228567
9,1179648,1310720,Pf3D7_03_v3,228568,435213
10,1310720,1441792,Pf3D7_03_v3,435216,659514
11,1441792,1572864,Pf3D7_03_v3,659515,879949
12,1572864,1703936,Pf3D7_03_v3,879950,1064851
13,1703936,1706479,Pf3D7_03_v3,1064854,1067970
13,1706479,1835008,Pf3D7_04_v3,10,170783
14,1835008,1966080,Pf3D7_04_v3,170786,377197
15,1966080,2097152,Pf3D7_04_v3,377199,601597
16,2097152,2228224,Pf3D7_04_v3,601600,829946
17,2228224,2359296,Pf3D7_04_v3,829947,1049142
18,2359296,2465799,Pf3D7_04_v3,1049143,1200489
18,2465799,2490368,Pf3D7_05_v3,51,58871
19,2490368,2621440,Pf3D7_05_v3,58872,275089
20,2621440,2752512,Pf3D7_05_v3,275090,507062
21,2752512,2883584,Pf3D7_05_v3,507063,726733
22,2883584,3014656,Pf3D7_05_v3,726734,941866
23,3014656,3145728,Pf3D7_05_v3,941867,1144191
24,3145728,3276230,Pf3D7_05_v3,1144192,1343556
24,3276230,3276800,Pf3D7_06_v3,31,722
25,3276800,3407872,Pf3D7_06_v3,723,207675
26,3407872,3538944,Pf3D7_06_v3,207676,424409
27,3538944,3670016,Pf3D7_06_v3,424410,640738
28,3670016,3801088,Pf3D7_06_v3,640740,847647
29,3801088,3932160,Pf3D7_06_v3,847648,1050941
30,3932160,4063232,Pf3D7_06_v3,1050942,1276343
31,4063232,4166117,Pf3D7_06_v3,1276349,1418241
31,4166117,4194304,Pf3D7_07_v3,22,30827
32,4194304,4325376,Pf3D7_07_v3,30828,237574
33,4325376,4456448,Pf3D7_07_v3,237575,447416
34,4456448,4587520,Pf3D7_07_v3,447417,626589
35,4587520,4718592,Pf3D7_07_v3,626590,856416
36,4718592,4849664,Pf3D7_07_v3,856420,1072944
37,4849664,4980736,Pf3D7_07_v3,1072945,1288895
38,4980736,5085115,Pf3D7_07_v3,1288896,1445206
38,5085115,5111808,Pf3D7_08_v3,20,28925
39,5111808,5242880,Pf3D7_08_v3,28926,235346
40,5242880,5373952,Pf3D7_08_v3,235347,448955
41,5373952,5505024,Pf3D7_08_v3,448956,668714
42,5505024,5636096,Pf3D7_08_v3,668715,871247
43,5636096,5767168,Pf3D7_08_v3,871248,1070038
44,5767168,5898240,Pf3D7_08_v3,1070039,1271619
45,5898240,6029312,Pf3D7_08_v3,1271621,1463420
46,6029312,6038158,Pf3D7_08_v3,1463421,1472804
46,6038158,6160384,Pf3D7_09_v3,42,170684
47,6160384,6291456,Pf3D7_09_v3,170685,373031
48,6291456,6422528,Pf3D7_09_v3,373032,571762
49,6422528,6553600,Pf3D7_09_v3,571764,771654
50,6553600,6684672,Pf3D7_09_v3,771655,973145
51,6684672,6815744,Pf3D7_09_v3,973146,1180893
52,6815744,6946816,Pf3D7_09_v3,1180895,1396271
53,6946816,7053842,Pf3D7_09_v3,1396272,1541733
53,7053842,7077888,Pf3D7_10_v3,35,25408
54,7077888,7208960,Pf3D7_10_v3,25409,221765
55,7208960,7340032,Pf3D7_10_v3,221766,421539
56,7340032,7471104,Pf3D7_10_v3,421540,636017
57,7471104,7602176,Pf3D7_10_v3,636018,845870
58,7602176,7733248,Pf3D7_10_v3,845873,1070163
59,7733248,7864320,Pf3D7_10_v3,1070165,1277122
60,7864320,7995392,Pf3D7_10_v3,1277125,1500737
61,7995392,8126464,Pf3D7_10_v3,1500738,1685269
62,8126464,8128558,Pf3D7_10_v3,1685270,1687654
62,8128558,8257536,Pf3D7_11_v3,28,191125
63,8257536,8388608,Pf3D7_11_v3,191126,387130
64,8388608,8519680,Pf3D7_11_v3,387139,596806
65,8519680,8650752,Pf3D7_11_v3,596807,809621
66,8650752,8781824,Pf3D7_11_v3,809622,1032550
67,8781824,8912896,Pf3D7_11_v3,1032551,1241650
68,8912896,9043968,Pf3D7_11_v3,1241651,1451791
69,9043968,9175040,Pf3D7_11_v3,1451798,1653217
70,9175040,9306112,Pf3D7_11_v3,1653218,1846505
71,9306112,9421493,Pf3D7_11_v3,1846507,2038332
71,9421493,9437184,Pf3D7_12_v3,26,16756
72,9437184,9568256,Pf3D7_12_v3,16757,213143
73,9568256,9699328,Pf3D7_12_v3,213144,415107
74,9699328,9830400,Pf3D7_12_v3,415108,624377
75,9830400,9961472,Pf3D7_12_v3,624379,827840
76,9961472,10092544,Pf3D7_12_v3,827842,1046163
77,10092544,10223616,Pf3D7_12_v3,1046164,1263073
78,10223616,10354688,Pf3D7_12_v3,1263074,1483150
79,10354688,10485760,Pf3D7_12_v3,1483152,1694578
80,10485760,10616832,Pf3D7_12_v3,1694579,1884100
81,10616832,10747904,Pf3D7_12_v3,1884103,2087099
82,10747904,10875565,Pf3D7_12_v3,2087100,2271493
82,10875565,10878976,Pf3D7_13_v3,33,26054
83,10878976,11010048,Pf3D7_13_v3,26055,225015
84,11010048,11141120,Pf3D7_13_v3,225018,425338
85,11141120,11272192,Pf3D7_13_v3,425339,632596
86,11272192,11403264,Pf3D7_13_v3,632600,835479
87,11403264,11534336,Pf3D7_13_v3,835481,1055178
88,11534336,11665408,Pf3D7_13_v3,1055179,1276245
89,11665408,11796480,Pf3D7_13_v3,1276246,1517083
90,11796480,11927552,Pf3D7_13_v3,1517085,1715195
91,11927552,12058624,Pf3D7_13_v3,1715196,1921085
92,12058624,12189696,Pf3D7_13_v3,1921087,2123981
93,12189696,12320768,Pf3D7_13_v3,2123982,2326057
94,12320768,12451840,Pf3D7_13_v3,2326062,2529659
95,12451840,12582912,Pf3D7_13_v3,2529660,2729847
96,12582912,12713350,Pf3D7_13_v3,2729848,2925234
96,12713350,12713984,Pf3D7_14_v3,33,772
97,12713984,12845056,Pf3D7_14_v3,773,192991
98,12845056,12976128,Pf3D7_14_v3,192992,392639
99,12976128,13107200,Pf3D7_14_v3,392641,592567
100,13107200,13238272,Pf3D7_14_v3,592568,802401
101,13238272,13369344,Pf3D7_14_v3,802404,1006087
102,13369344,13500416,Pf3D7_14_v3,1006088,1224779
103,13500416,13631488,Pf3D7_14_v3,1224780,1440394
104,13631488,13762560,Pf3D7_14_v3,1440399,1642551
105,13762560,13893632,Pf3D7_14_v3,1642553,1857215
106,13893632,14024704,Pf3D7_14_v3,1857216,2054954
107,14024704,14155776,Pf3D7_14_v3,2054955,2259540
108,14155776,14286848,Pf3D7_14_v3,2259541,2453180
109,14286848,14417920,Pf3D7_14_v3,2453181,2649430
110,14417920,14548992,Pf3D7_14_v3,2649431,2856941
111,14548992,14680064,Pf3D7_14_v3,2856942,3050838
112,14680064,14811136,Pf3D7_14_v3,3050839,3261179
113,14811136,14833331,Pf3D7_14_v3,3261180,3291934
113,14833331,14847910,Pf3D7_API_v3,9,33863
113,14847910,14851008,Pf3D7_MIT_v3,18,5965
